utc,date,time,open,high,low,close,volume
1748116800000,2025-05-24,20:00:00,108904.9,109090.7,107434.5,107716,1489459135.1486
1748131200000,2025-05-25,00:00:00,107716,108222,107118.1,108059.5,1361678407.1413
1748145600000,2025-05-25,04:00:00,108059.5,108249.7,107407.5,107631,649405997.089
1748160000000,2025-05-25,08:00:00,107631,107648.6,106650.2,107200,1387949281.3995
1748174400000,2025-05-25,12:00:00,107200,107708.9,106538.4,106931.9,1579906875.0236
1748188800000,2025-05-25,16:00:00,106931.9,107919.8,106606.6,107679,794107065.6057
1748203200000,2025-05-25,20:00:00,107679,109300,107106.5,108976.2,2103859665.4715
1748217600000,2025-05-26,00:00:00,108976.2,109838,108640.7,109599.9,1712576580.7051
1748232000000,2025-05-26,04:00:00,109599.9,110209.3,109331.5,110083.3,1167793762.0158
1748246400000,2025-05-26,08:00:00,110083.3,110171.8,109505.7,109734.6,900266417.606
1748260800000,2025-05-26,12:00:00,109734.6,110379,109423.3,109970.4,1610856185.6246
1748275200000,2025-05-26,16:00:00,109970.4,110452.2,108816.5,109077.8,2014196129.3355
1748289600000,2025-05-26,20:00:00,109077.8,109887.8,108900,109382.3,1297299706.5682
1748304000000,2025-05-27,00:00:00,109382.3,109656.9,107421.7,108820.1,3236828477.4033
1748318400000,2025-05-27,04:00:00,108820.1,109594.8,108470.7,109494,1512340797.4142
1748332800000,2025-05-27,08:00:00,109494,109879.4,109351.5,109538.4,1089537508.3417
1748347200000,2025-05-27,12:00:00,109538.4,110700,108606.6,110087.8,4599082994.1905
1748361600000,2025-05-27,16:00:00,110087.8,110459.6,109500,109815.4,1587130665.0371
1748376000000,2025-05-27,20:00:00,109815.4,109844.7,108458.6,108864,1622673595.0499
1748390400000,2025-05-28,00:00:00,108864,109217.8,108304.1,108793.8,1088593077.0759
1748404800000,2025-05-28,04:00:00,108793.8,109032.1,108550,108750,575532185.4141
1748419200000,2025-05-28,08:00:00,108750,109070.8,108171.3,108800.1,1083618664.839
1748433600000,2025-05-28,12:00:00,108800.1,109000,106973.9,107071.4,2718075473.8966
1748448000000,2025-05-28,16:00:00,107071.4,107800,106841.5,106883.4,1487618353.8127
1748462400000,2025-05-28,20:00:00,106883.4,108017.2,106718,107738.9,1103988316.3289
1748476800000,2025-05-29,00:00:00,107738.9,108437.9,107395,108002.4,1213859561.6989
1748491200000,2025-05-29,04:00:00,108002.4,108065.4,106880,107824.9,1140086957.9923
1748505600000,2025-05-29,08:00:00,107824.9,108850,107576.5,108741.4,1428498053.869
1748520000000,2025-05-29,12:00:00,108741.4,108773.3,106339.4,106965.1,3848145511.3525
1748534400000,2025-05-29,16:00:00,106965.1,107120,105600,105692.9,2858680982.6154
1748548800000,2025-05-29,20:00:00,105692.9,106434.5,105250,105550,1295546012.004
1748563200000,2025-05-30,00:00:00,105550,106175.1,104520.1,105982,2665740697.8459
1748577600000,2025-05-30,04:00:00,105982,106278.3,104680.2,104996.9,1476968708.9091
1748592000000,2025-05-30,08:00:00,104996.9,105986.3,104555.1,105860,2118020193.2539
1748606400000,2025-05-30,12:00:00,105860,105996.6,104971.8,105500,2099916071.1694
1748620800000,2025-05-30,16:00:00,105500,105525,103666,104609.3,2824501152.2057
1748635200000,2025-05-30,20:00:00,104609.3,104870,103569,103976.6,1231953385.999
1748649600000,2025-05-31,00:00:00,103976.6,104288.8,103036.8,103643,1758168405.3846
1748664000000,2025-05-31,04:00:00,103643,103882.5,103442.7,103713.4,597583286.0567
1748678400000,2025-05-31,08:00:00,103713.4,103787.8,103246,103459.4,462525793.2177
1748692800000,2025-05-31,12:00:00,103459.4,104800,103441.3,104512.9,1212998521.0881
1748707200000,2025-05-31,16:00:00,104512.9,104769.9,104238.1,104686,632160657.9627
1748721600000,2025-05-31,20:00:00,104686,104898.5,104456.8,104566.1,710386064.5952
1748736000000,2025-06-01,00:00:00,104566.1,104611.4,103863.4,104333.1,838215419.8529
1748750400000,2025-06-01,04:00:00,104333.1,104699,104150.1,104230,409889225.9131
1748764800000,2025-06-01,08:00:00,104230,104410,103696.7,104040,657420566.4839
1748779200000,2025-06-01,12:00:00,104040,104773.5,103719.7,104676.9,713911462.5487
1748793600000,2025-06-01,16:00:00,104676.9,105266,104302.4,105084.1,1125356383.4541
1748808000000,2025-06-01,20:00:00,105084.1,105843.6,104856.9,105614.4,866234002.0521
1748822400000,2025-06-02,00:00:00,105614.4,105719,104502.2,104786.8,933391599.9154
1748836800000,2025-06-02,04:00:00,104786.8,105394.7,104568.3,105333.8,683310597.0139
1748851200000,2025-06-02,08:00:00,105333.8,105894,103868,104004.4,1952749576.8085
1748865600000,2025-06-02,12:00:00,104004.4,104631.4,103606.4,104382,2561199645.3764
