utc,date,time,open,high,low,close,volume
1760875320000,2025-10-19,12:02:00,107756.2,107783.3,107710.5,107726.8,1914205.6078
1760875380000,2025-10-19,12:03:00,107726.8,107760,107726.1,107760,849031.3764
1760875440000,2025-10-19,12:04:00,107760,107784.7,107740,107740.1,1348868.9114
1760875500000,2025-10-19,12:05:00,107740.1,107755.9,107685.5,107755.9,2397304.3963
1760875560000,2025-10-19,12:06:00,107755.9,107820.8,107755.8,107774.8,4636023.3841
1760875620000,2025-10-19,12:07:00,107774.8,107809.3,107736.7,107736.7,689371.9003
1760875680000,2025-10-19,12:08:00,107736.7,107759.7,107685.5,107685.5,2102568.4695
1760875740000,2025-10-19,12:09:00,107685.5,107709.3,107664.5,107691.7,2506155.5119
1760875800000,2025-10-19,12:10:00,107691.7,107710.4,107653.6,107653.6,1816814.1036
1760875860000,2025-10-19,12:11:00,107653.6,107653.7,107600.3,107611,4520328.8762
1760875920000,2025-10-19,12:12:00,107611,107611,107580,107580,3547560.8882
1760875980000,2025-10-19,12:13:00,107580,107580,107536.3,107536.4,4402039.3839
1760876040000,2025-10-19,12:14:00,107536.4,107550,107489,107535.5,6447186.979
1760876100000,2025-10-19,12:15:00,107535.5,107535.6,107495.2,107522.4,3507669.7999
1760876160000,2025-10-19,12:16:00,107522.4,107522.5,107453.3,107486,4635539.9172
1760876220000,2025-10-19,12:17:00,107486,107523,107480.1,107522.9,2768968.6809
1760876280000,2025-10-19,12:18:00,107522.9,107601.3,107522.9,107577.1,10209258.1442
1760876340000,2025-10-19,12:19:00,107577.1,107602,107551.8,107584.3,3014471.6342
1760876400000,2025-10-19,12:20:00,107584.3,107584.4,107526.4,107526.4,1416785.0184
1760876460000,2025-10-19,12:21:00,107526.4,107540.7,107483.6,107503.1,1795989.0157
1760876520000,2025-10-19,12:22:00,107503.1,107549.4,107499.2,107548,3160868.0398
1760876580000,2025-10-19,12:23:00,107548,107554.2,107489,107523.9,3820352.0774
1760876640000,2025-10-19,12:24:00,107523.9,107602,107511.7,107585.7,2690361.1952
1760876700000,2025-10-19,12:25:00,107585.7,107585.7,107538.6,107538.7,749324.1455
1760876760000,2025-10-19,12:26:00,107538.7,107538.7,107488,107488,955867.8595
1760876820000,2025-10-19,12:27:00,107488,107490,107480,107489.9,811711.1771
1760876880000,2025-10-19,12:28:00,107489.9,107489.9,107453.2,107455.9,2272068.9915
1760876940000,2025-10-19,12:29:00,107455.9,107508.1,107425.5,107464.7,5805402.1153
1760877000000,2025-10-19,12:30:00,107464.7,107500,107400,107499.9,3568233.9008
1760877060000,2025-10-19,12:31:00,107499.9,107564.6,107499.9,107564.6,2443209.9157
1760877120000,2025-10-19,12:32:00,107564.6,107575.4,107546.8,107546.9,3238882.0518
1760877180000,2025-10-19,12:33:00,107546.9,107577.2,107532.7,107532.8,2808322.6179
1760877240000,2025-10-19,12:34:00,107532.8,107532.8,107432.5,107473.9,3845308.1982
1760877300000,2025-10-19,12:35:00,107473.9,107536.6,107461.2,107528.4,4046343.4192
1760877360000,2025-10-19,12:36:00,107528.4,107628,107528.4,107628,6787368.1493
1760877420000,2025-10-19,12:37:00,107628,107670,107580.6,107593.3,2707209.0145
1760877480000,2025-10-19,12:38:00,107593.3,107685.7,107585.7,107643,2526181.0974
1760877540000,2025-10-19,12:39:00,107643,107643,107598.2,107602.4,2202064.6545
1760877600000,2025-10-19,12:40:00,107602.4,107648.1,107594.9,107594.9,2384324.772
1760877660000,2025-10-19,12:41:00,107594.9,107630.7,107544.7,107576.5,2682941.659
1760877720000,2025-10-19,12:42:00,107576.5,107596.4,107559.8,107561.2,543841.973
1760877780000,2025-10-19,12:43:00,107561.2,107585.1,107546.8,107546.9,746161.8936
1760877840000,2025-10-19,12:44:00,107546.9,107546.9,107462.2,107476.1,2362742.3206
1760877900000,2025-10-19,12:45:00,107476.1,107476.2,107411.1,107419.5,5334335.9581
1760877960000,2025-10-19,12:46:00,107419.5,107451.6,107400,107435.2,1440012.3011
1760878020000,2025-10-19,12:47:00,107435.2,107446.3,107411.8,107446,1906787.7802
1760878080000,2025-10-19,12:48:00,107446,107463.8,107436.2,107455.7,829163.814
