utc,date,time,open,high,low,close,volume
1615161600000,2021-03-08,00:00:00,50979.5,61939.5,49385,59068,11079627883.8880004883
1615766400000,2021-03-15,00:00:00,59068,60704,53376,57351,10465339135.3560009003
1616371200000,2021-03-22,00:00:00,57351,58402.5,50504,55760,8972437618.7199993134
1616976000000,2021-03-29,00:00:00,55760,60300,55006,58208,6899393075.8400001526
1617580800000,2021-04-05,00:00:00,58208,61671.5,55535,60033.5,5255307856.1979999542
1618185600000,2021-04-12,00:00:00,60033.5,64943.5,50500,56100,8527004323.1999998093
1618790400000,2021-04-19,00:00:00,56100,57436,47019,49022.5,7861497477.4575004578
1619395200000,2021-04-26,00:00:00,49022.5,58438.5,48723,56599.5,6399516535.8690004349
1620000000000,2021-05-03,00:00:00,56599.5,59526,52930,58240.5,6789188269.8000001907
1620604800000,2021-05-10,00:00:00,58240.5,59586,43890,46414,9104137011.7240009308
1621209600000,2021-05-17,00:00:00,46414,46629,28801,34658,19635513814.0200004578
1621814400000,2021-05-24,00:00:00,34658,40871,33360,35661.5,11751771850.220500946
1622419200000,2021-05-31,00:00:00,35661.5,39440,34176.5,35801,11373038245.9589996338
1623024000000,2021-06-07,00:00:00,35801,39372,30980,39026,21131788879.6040000916
1623628800000,2021-06-14,00:00:00,39026,41300,33338,35608.5,18004434969.1635017395
1624233600000,2021-06-21,00:00:00,35608.5,35737.5,28774,34690.5,30389897415.033000946
1624838400000,2021-06-28,00:00:00,34690.5,36573,32695,35293,18823619135.1450004578
1625443200000,2021-07-05,00:00:00,35293,35293,32089,34234,16402347208.6819992065
1626048000000,2021-07-12,00:00:00,34234,34620,31056,31748,13127509728.1599998474
1626652800000,2021-07-19,00:00:00,31748,35366,29272.5,35348.5,16681785612.794500351
1627257600000,2021-07-26,00:00:00,35348.5,42600,35174.5,39836.5,26292093107.2470016479
1627862400000,2021-08-02,00:00:00,39836.5,45319.5,37281,43806,23331840058.5060005188
1628467200000,2021-08-09,00:00:00,43806,48280.5,42800,46998,18791776759.8959999084
1629072000000,2021-08-16,00:00:00,46998,49800,44000,49248.5,19387865907.1370010376
1629676800000,2021-08-23,00:00:00,49248.5,50490,46300,48747.5,20236174904.2200012207
1630281600000,2021-08-30,00:00:00,48747.5,51859.5,46585,51641.5,19181070194.4015007019
1630886400000,2021-09-06,00:00:00,51641.5,52858,42330,46027.5,19089486498.5849990845
1631491200000,2021-09-13,00:00:00,46027.5,48800,43199.5,47274.5,13750295344.0125007629
1632096000000,2021-09-20,00:00:00,47274.5,47342,39520,43168.5,22285321764.8175010681
1632700800000,2021-09-27,00:00:00,43168.5,49357,40728.5,48175.5,18221180077.2915000916
1633305600000,2021-10-04,00:00:00,48175.5,56666,46902.5,54724.5,18174200995.5974998474
1633910400000,2021-10-11,00:00:00,54724.5,63801,53700,61544,19311314195.8390007019
1634515200000,2021-10-18,00:00:00,61544,67210,59456,60901.5,21414758684.454498291
1635120000000,2021-10-25,00:00:00,60901.5,63750.5,57476,61338,16382535239.093000412
1635724800000,2021-11-01,00:00:00,61338,64258.5,59444,63264,13794769589.3775005341
1636329600000,2021-11-08,00:00:00,63264,69138.5,62350,65529.5,15383545214.9295005798
1636934400000,2021-11-15,00:00:00,65529.5,66383,55665.5,58627,15541283452.7094993591
1637539200000,2021-11-22,00:00:00,58627,59692,53122,57299,13143358181.1865005493
1638144000000,2021-11-29,00:00:00,57299,59200,40829,49358,18437709210.2820014954
1638748800000,2021-12-06,00:00:00,49358,51923.5,46750,50079.5,13338284447.3759994507
1639353600000,2021-12-13,00:00:00,50079.5,50167,45280,46699.5,15791207162.3645000458
1639958400000,2021-12-20,00:00:00,46699.5,51980,45479.5,50763,12464925383.5505008698
1640563200000,2021-12-27,00:00:00,50763,52119,45634,47305,14559305902.0515003204
1641168000000,2022-01-03,00:00:00,47305,47576.5,40517.5,41856,19046504030.2384986877
1641772800000,2022-01-10,00:00:00,41856,44450,39655,43051,16903033189.2080001831
1642377600000,2022-01-17,00:00:00,43051,43482,33960,36234.5,23932035540.0504989624
1642982400000,2022-01-24,00:00:00,36234.5,38888,32906,37875.5,21894264020.6790008545
1643587200000,2022-01-31,00:00:00,37875.5,42638.5,36200.5,42350,17562622146.2464981079
1644192000000,2022-02-07,00:00:00,42350,45924.5,41595,42059.5,23327334382.1669998169
1644796800000,2022-02-14,00:00:00,42059.5,44800,37917,38355,19779227622.1980018616
1645401600000,2022-02-21,00:00:00,38355,40300,34242.5,37665,29986624782.2555007935
1646006400000,2022-02-28,00:00:00,37665,45372,37435,38394,26999370425.3815002441
1646611200000,2022-03-07,00:00:00,38394,42698,37139,37756,27097923827.8089981079
1647216000000,2022-03-14,00:00:00,37756,42397,37527,41272,22350538232.5219993591
1647820800000,2022-03-21,00:00:00,41272,46989,40473.5,46793,22443001604.7594985962
1648425600000,2022-03-28,00:00:00,46793,48185,44202,46411.5,24914917389.0654983521
1649030400000,2022-04-04,00:00:00,46411.5,47190,41745,42137,22913262343.4454994202
1649635200000,2022-04-11,00:00:00,42137,42400,39171.5,39662,23020881411.0540008545
1650240000000,2022-04-18,00:00:00,39662,42950,38466.5,39439.5,22199661265.1375007629
1650844800000,2022-04-25,00:00:00,39439.5,40803,37351,38446.5,28844245332.7299995422
1651449600000,2022-05-02,00:00:00,38446.5,40058.5,33666,34032.5,29303575270.966999054
1652054400000,2022-05-09,00:00:00,34032.5,34258,26536,31315.5,50285650491.6555023193
1652659200000,2022-05-16,00:00:00,31315.5,31315.5,28633,30269.5,24587685186.3224983215
1653264000000,2022-05-23,00:00:00,30269.5,30654.5,27950,29452,27929097099.6209983826
1653868800000,2022-05-30,00:00:00,29452,32450,29250,29901.5,23444792876.5509986877
1654473600000,2022-06-06,00:00:00,29901.5,31750,26550,26567.5,35187132540.5500030518
1655078400000,2022-06-13,00:00:00,26567.5,26885,17600,20567.5,58407478485.7145004272
1655683200000,2022-06-20,00:00:00,20567.5,21880,19624,21032,32157931828.9049987793
1656288000000,2022-06-27,00:00:00,21032,21580,18601,19306,29686497854.9174995422
1656892800000,2022-07-04,00:00:00,19306,22600,19039,20849,32249913137.2055015564
1657497600000,2022-07-11,00:00:00,20849,21669,18867.5,20799,29255016015.0434989929
1658102400000,2022-07-18,00:00:00,20799,24277,20763,22573.5,37708656874.3485031128
1658707200000,2022-07-25,00:00:00,22573.5,24695,20691,23290.5,28578769461.0704994202
1659312000000,2022-08-01,00:00:00,23290.5,23655,22350,23167,21557118913.5719985962
1659916800000,2022-08-08,00:00:00,23167,25031,22521,24290.5,25752903305.5989990234
1660521600000,2022-08-15,00:00:00,24290.5,25199,20730,21505.5,27859496395.5410003662
1661126400000,2022-08-22,00:00:00,21505.5,21880,19511,19548,24198961963.0219993591
1661731200000,2022-08-29,00:00:00,19548,20569,19530,19986.5,22440628899.3720016479
1662336000000,2022-09-05,00:00:00,19986.5,21879.5,18451,21810,26030936257.2705001831
1662940800000,2022-09-12,00:00:00,21810,22794,19315,19408.5,27487961912.1290016174
1663545600000,2022-09-19,00:00:00,19408.5,20045,18100,18800,31083448528.0105018616
1664150400000,2022-09-26,00:00:00,18800,20383.5,18453,19054,33291075601.8115005493
1664755200000,2022-10-03,00:00:00,19054,20451,18947,19436.5,24064818794.8605003357
1665360000000,2022-10-10,00:00:00,19436.5,19944,18071,19252.5,21764199517.9300003052
1665964800000,2022-10-17,00:00:00,19252.5,19694,18621.5,19559,17530662033.7719993591
1666569600000,2022-10-24,00:00:00,19559,21100,19155,20613.5,22889454964.5760002136
1667174400000,2022-10-31,00:00:00,20613.5,21470,20013.5,20904,18104168621.3499984741
1667779200000,2022-11-07,00:00:00,20904,21062.5,15460.5,16330.5,40535373233.3280029297
1668384000000,2022-11-14,00:00:00,16330.5,17213,15802.5,16273.5,15672682782.670999527
1668988800000,2022-11-21,00:00:00,16273.5,16810,15440,16426,13491957644.7385005951
1669593600000,2022-11-28,00:00:00,16426,17390,15985,17096,13390794419.3255004883
1670198400000,2022-12-05,00:00:00,17096,17425.5,16666.5,17078,9638270918.2154998779
1670803200000,2022-12-12,00:00:00,17078,18379,16532.5,16729.5,16355375715.5345001221
1671408000000,2022-12-19,00:00:00,16729.5,17054,16203,16825,8935112841.0659999847
1672012800000,2022-12-26,00:00:00,16825,16961,16353,16622.5,7100901996.858499527
1672617600000,2023-01-02,00:00:00,16622.5,17190,16552,17119.5,7556998683.2124996185
1673222400000,2023-01-09,00:00:00,17119.5,21550,17094,20878,24554728162.858001709
1673827200000,2023-01-16,00:00:00,20878,23381,20385,22703.5,29290831956.313999176
1674432000000,2023-01-23,00:00:00,22703.5,23966,22319,23737.5,23167508409.9894981384
1675036800000,2023-01-30,00:00:00,23737.5,24280,22480.5,22934,21215056783.9589996338
1675641600000,2023-02-06,00:00:00,22934,23462.5,21431.1,21776.9,17738052411.6646995544
1676246400000,2023-02-13,00:00:00,21776.9,25296.1,21327.5,24266.9,32332594370.3969993591
1676851200000,2023-02-20,00:00:00,24266.9,25295,22712.3,23548.3,28390824510.7002983093
1677456000000,2023-02-27,00:00:00,23548.3,24028.4,21905,22419,20119676650.6758995056
1678060800000,2023-03-06,00:00:00,22419,22594.7,19535,21978.9,30935507603.257900238
1678665600000,2023-03-13,00:00:00,21978.9,28417.1,21804,27962.1,56179747502.6604995728
1679270400000,2023-03-20,00:00:00,27962.1,28897,26583.4,27951.6,39120213040.739402771
1679875200000,2023-03-27,00:00:00,27951.6,29197.2,26474.3,28155.9,31526925618.0325012207
1680480000000,2023-04-03,00:00:00,28155.9,28797.1,27175,28309.7,22174011575.5956001282
1681084800000,2023-04-10,00:00:00,28309.7,31061.7,28136.6,30295.9,28503278297.6195983887
1681689600000,2023-04-17,00:00:00,30295.9,30500,27058,27572.8,32524503381.4136009216
1682294400000,2023-04-24,00:00:00,27572.8,30062,26933,29217,39090700419.1491012573
1682899200000,2023-05-01,00:00:00,29217,29833,27640.1,28413.9,31184069069.3334999084
1683504000000,2023-05-08,00:00:00,28413.9,28615,25764,26903,25908880423.3712005615
1684108800000,2023-05-15,00:00:00,26903,27648,26341.3,26734.3,19303453441.4154014587
1684713600000,2023-05-22,00:00:00,26734.3,28280,25851,28049.9,19183275477.3745994568
1685318400000,2023-05-29,00:00:00,28049.9,28449,26480.7,27105.5,17614367175.4388008118
1685923200000,2023-06-05,00:00:00,27105.5,27397,25324.2,25915.1,26175905707.1214
1686528000000,2023-06-12,00:00:00,25915.1,26886.8,24779.5,26333.5,20461070526.3968
1687132800000,2023-06-19,00:00:00,26333.5,31444,26250,30460.1,37407369417.7622
1687737600000,2023-06-26,00:00:00,30460.1,31291.9,29412.8,30601.9,27133534692.6578
1688342400000,2023-07-03,00:00:00,30601.9,31543.1,29675.1,30150,21062213934.1771
1688947200000,2023-07-10,00:00:00,30150,31843.9,29873,30221.4,23528996265.6289
1689552000000,2023-07-17,00:00:00,30221.4,30407,29362,30071.1,16180132710.9898
1690156800000,2023-07-24,00:00:00,30071.1,30084,28851,29273.1,13763921207.7002
1690761600000,2023-07-31,00:00:00,29273.1,30040,28555.6,29075.7,16906847298.4036
1691366400000,2023-08-07,00:00:00,29075.7,30265.8,28677.1,29301.3,16242110234.2474
1691971200000,2023-08-14,00:00:00,29301.3,29680,24200.9,26176.5,24868835448.488
1692576000000,2023-08-21,00:00:00,26176.5,26823.8,25267.3,26085.4,16825114173.1466
1693180800000,2023-08-28,00:00:00,26085.4,28140.8,25305.4,25959.9,24988721368.7753
1693785600000,2023-09-04,00:00:00,25959.9,26450,25342.4,25826.4,12530288959.6473
1694390400000,2023-09-11,00:00:00,25826.4,26890.9,24853.4,26514.6,21236996458.7938
1694995200000,2023-09-18,00:00:00,26514.6,27484.9,26079,26232.9,19430317252.3546
1695600000000,2023-09-25,00:00:00,26232.9,28350,25971.3,27979,18625568179.0658
1696204800000,2023-10-02,00:00:00,27979,28591.7,27132,27899,23609389494.3325
1696809600000,2023-10-09,00:00:00,27899,27971.5,26523,27139.3,17622681793.9836
1697414400000,2023-10-16,00:00:00,27139.3,30625.8,27098,29978.7,32198644659.7823
1698019200000,2023-10-23,00:00:00,29978.7,36743.5,29875,34535.8,41550831978.1269
1698624000000,2023-10-30,00:00:00,34535.8,36084.2,34026.4,35035.8,32013758159.483
1699228800000,2023-11-06,00:00:00,35035.8,38149,34526.6,37089.5,34708510607.339
1699833600000,2023-11-13,00:00:00,37089.5,38016.9,34542.9,37386.9,34325559404.6512
1700438400000,2023-11-20,00:00:00,37386.9,38435.7,35613,37455.4,32562685973.5557
1701043200000,2023-11-27,00:00:00,37455.4,40439.9,36714.5,39999.9,29925987648.4688
1701648000000,2023-12-04,00:00:00,39999.9,44777,39996.6,43823.8,45656146845.167
1702252800000,2023-12-11,00:00:00,43823.8,43854.8,40167.7,41395.2,44091438266.3123
1702857600000,2023-12-18,00:00:00,41395.2,44473.9,40566,43022.3,34980633382.6799
1703462400000,2023-12-25,00:00:00,43022.3,43874.5,41278,42324.8,27965236506.5967
1704067200000,2024-01-01,00:00:00,42324.8,45946.5,40210,43936.2,46136284563.9843
1704672000000,2024-01-08,00:00:00,43936.2,49054.4,41323,41731,67702911598.5053
1705276800000,2024-01-15,00:00:00,41731,43579.9,40269,41585.6,30311696583.7277
1705881600000,2024-01-22,00:00:00,41585.6,42839.9,38531.5,42016.1,38214960124.5388
1706486400000,2024-01-29,00:00:00,42016.1,43890.8,41767.9,42559.6,29462273194.1734
1707091200000,2024-02-05,00:00:00,42559.6,48603.5,42229.6,48328.5,36167983336.4285
1707696000000,2024-02-12,00:00:00,48328.5,52879.5,47712.8,52174.9,50185350588.4459
1708300800000,2024-02-19,00:00:00,52174.9,53120,50430,51747.5,36494609256.2611
1708905600000,2024-02-26,00:00:00,51747.5,64496.7,50922,63179.1,81050826707.3507
1709510400000,2024-03-04,00:00:00,63179.1,70320,59111,68999.6,90742872973.3678
1710115200000,2024-03-11,00:00:00,68999.6,73949,64539.8,68432.2,89945623732.7058
1710720000000,2024-03-18,00:00:00,68432.2,69040,60761.2,67248.1,77003262366.7313
1711324800000,2024-03-25,00:00:00,67248.1,71898,66374.5,71378,52622613260.3138
1711929600000,2024-04-01,00:00:00,71378,71394.6,64406,69355,57528780113.444
1712534400000,2024-04-08,00:00:00,69355,72854.5,59765.9,65618.9,77084862860.4521
1713139200000,2024-04-15,00:00:00,65618.9,66834.9,59521.7,64910.9,68925160694.9438
1713744000000,2024-04-22,00:00:00,64910.9,67198.9,62370,63092.8,42145442089.7101
1714348800000,2024-04-29,00:00:00,63092.8,64705.3,56505,63997.8,60894113509.0844
1714953600000,2024-05-06,00:00:00,63997.8,65540,60111,61449.7,41970053392.482
1715558400000,2024-05-13,00:00:00,61449.7,67737.7,60707.8,66235.6,41554028165.1471
1716163200000,2024-05-20,00:00:00,66235.6,72061.7,66034,68528.6,44265294094.0641
1716768000000,2024-05-27,00:00:00,68528.6,70737.9,66660,67776.3,32775890492.7979
1717372800000,2024-06-03,00:00:00,67776.3,72169,67621.5,69642.3,35103621174.3645
1717977600000,2024-06-10,00:00:00,69642.3,70180.6,65030,66638.2,40517261711.2268
1718582400000,2024-06-17,00:00:00,66638.2,67289.9,63123.1,63179.9,37486812992.3263
1719187200000,2024-06-24,00:00:00,63179.9,63329.9,58320,62749.5,43132153430.0717
1719792000000,2024-07-01,00:00:00,62749.5,63845,53314.3,55840,52693304229.3494
1720396800000,2024-07-08,00:00:00,55840,61387.9,54228.3,60755.8,48515871778.9278
1721001600000,2024-07-15,00:00:00,60755.8,68371.7,60601.9,68150,55122584561.766
1721606400000,2024-07-22,00:00:00,68150,69400,63378.5,68240.9,53726351604.1969
1722211200000,2024-07-29,00:00:00,68240.9,70136.9,57150,58131.6,68107619294.6841
1722816000000,2024-08-05,00:00:00,58131.6,62743.1,48914.1,58703.4,81870505391.8876
1723420800000,2024-08-12,00:00:00,58703.4,61950.3,56052.1,58406.4,53994391431.4345
1724025600000,2024-08-19,00:00:00,58406.4,65041.9,57753.1,64180.9,49089253980.7973
1724630400000,2024-08-26,00:00:00,64180.9,64447.6,56913.4,57266.1,51259946313.583
1725235200000,2024-09-02,00:00:00,57266.1,59805,52500.2,54850,51710275443.468
1725840000000,2024-09-09,00:00:00,54850,60624.2,54560.3,59101.2,47911304715.541
1726444800000,2024-09-16,00:00:00,59101.2,64131.7,57450,63549.9,51010430550.514
1727049600000,2024-09-23,00:00:00,63549.9,66520,62537.1,65571.7,43928467833.9548
1727654400000,2024-09-30,00:00:00,65571.7,65604.8,59840.2,62792.9,59291819052.4283
1728259200000,2024-10-07,00:00:00,62792.9,64464,58900,62838.7,49638245086.9081
1728864000000,2024-10-14,00:00:00,62838.7,69428,62422.5,69034,58720097790.017
1729468800000,2024-10-21,00:00:00,69034,69555,65240.2,68001.1,53046877672.4866
1730073600000,2024-10-28,00:00:00,68001.1,73681.8,67456.1,68743.6,66867217304.1564
1730678400000,2024-11-04,00:00:00,68743.6,81700,66808,80428.5,84191403887.5066
1731283200000,2024-11-11,00:00:00,80428.5,93400,80267.8,89900,123014960530.9237
1731888000000,2024-11-18,00:00:00,89900,99690,89424,98027.7,90257004732.7744
1732492800000,2024-11-25,00:00:00,98027.7,98979.9,90835.5,97265.4,70873478088.8287
1733097600000,2024-12-02,00:00:00,97265.4,104698.8,90530,101186.8,87637011266.3341
1733702400000,2024-12-09,00:00:00,101186.8,105338.2,93888,104515.6,77280441003.0476
1734307200000,2024-12-16,00:00:00,104515.6,108421.6,92230,95144.7,96640545343.1486
1734912000000,2024-12-23,00:00:00,95144.7,99950,92465.8,93699,56598133953.0268
1735516800000,2024-12-30,00:00:00,93699,98950,91463.7,98340.5,47690754286.1999
1736121600000,2025-01-06,00:00:00,98340.5,102702.1,91151,94510,72068802804.7642
1736726400000,2025-01-13,00:00:00,94510,106476.5,89100,101310.7,80768729774.9277
1737331200000,2025-01-20,00:00:00,101310.7,109951.7,99500.1,102553.7,97369817656.9463
1737936000000,2025-01-27,00:00:00,102553.7,106421.1,95994.3,97645.7,68338307118.1237
1738540800000,2025-02-03,00:00:00,97645.7,102457.8,91166.6,96428.6,74289802688.4205
1739145600000,2025-02-10,00:00:00,96428.6,98821,94001.2,96060.1,46167014552.3317
1739750400000,2025-02-17,00:00:00,96060.1,99454.2,93318.1,96262.6,42612890059.8266
1740355200000,2025-02-24,00:00:00,96262.6,96536.3,78210.5,94259.7,92631149841.6162
1740960000000,2025-03-03,00:00:00,94259.7,94414.2,79913.4,80692.3,91460073913.0915
1741564800000,2025-03-10,00:00:00,80692.3,85299.9,76545,82528.5,70479610128.0979
1742169600000,2025-03-17,00:00:00,82528.5,87400,81093.6,86037.8,43947472438.0076
1742774400000,2025-03-24,00:00:00,86037.8,88740,81510,82347.9,51723105699.9191
1743379200000,2025-03-31,00:00:00,82347.9,88560.1,77083.5,78376.1,72352441061.3302
1743984000000,2025-04-07,00:00:00,78376.1,86099,74456.2,83716.8,91263402557.6594
1744588800000,2025-04-14,00:00:00,83716.8,86444,83055,85145.5,39639294295.7745
1745193600000,2025-04-21,00:00:00,85145.5,95724.5,85106.1,93700,58896657564.219
1745798400000,2025-04-28,00:00:00,93700,97868,92750,94224.1,48941628630.7766
1746403200000,2025-05-05,00:00:00,94224.1,104986.7,93333.5,104080,60531290310.2326
1747008000000,2025-05-12,00:00:00,104080,106650,100688,106428.1,58589205617.32
1747612800000,2025-05-19,00:00:00,106428.1,111968,102000,108976.2,95876534098.5014
1748217600000,2025-05-26,00:00:00,108976.2,110700,103036.8,105614.4,64594775968.184
1748822400000,2025-06-02,00:00:00,105614.4,106773.7,100350,105670.8,57182528518.4265
1749427200000,2025-06-09,00:00:00,105670.8,110660.8,102626.9,105547.8,60061756328.3433
1750032000000,2025-06-16,00:00:00,105547.8,108955.5,98125,100904.3,69467395453.0132
1750636800000,2025-06-23,00:00:00,100904.3,108507,99581,108314.8,52222091903.3156
1751241600000,2025-06-30,00:00:00,108314.8,110485.7,105058.6,109160.5,45625439362.6727
1751846400000,2025-07-07,00:00:00,109160.5,119474.9,107369.7,119050.2,54604770057.6566
1752451200000,2025-07-14,00:00:00,119050.2,123250,115750,117290.4,72618038777.453
1753056000000,2025-07-21,00:00:00,117290.4,120321,114710,119429.9,58500566879.0899
1753660800000,2025-07-28,00:00:00,119429.9,119844.9,111870,114147.1,54426466829.1712
1754265600000,2025-08-04,00:00:00,114147.1,119433.6,112577.7,119271.8,45931907338.2848
1754870400000,2025-08-11,00:00:00,119271.8,124571.2,116719.3,117355.6,68420150586.2785
1755475200000,2025-08-18,00:00:00,117355.6,117509.6,110551,113474.8,57799129780.3438
1756080000000,2025-08-25,00:00:00,113474.8,113649.9,107300,108200,52211105853.1566
1756684800000,2025-09-01,00:00:00,108200,113369.4,107202,111086.7,50504865386.7348
1757289600000,2025-09-08,00:00:00,111086.7,116600,110555.3,115214.4,48110067187.9672
1757894400000,2025-09-15,00:00:00,115214.4,117884,114316.3,115173.4,42738292820.1684
1758499200000,2025-09-22,00:00:00,115173.4,115340.2,108550,112133.5,48868854572.2235
1759104000000,2025-09-29,00:00:00,112133.5,125849.7,111487.2,123447.9,65316615417.4331
1759708800000,2025-10-06,00:00:00,123447.9,126150,101045.9,114908.5,98798074006.9863
1760313600000,2025-10-13,00:00:00,114908.5,115950.6,103437.4,108597.3,69097461076.4092
1760918400000,2025-10-20,00:00:00,108597.3,115583,106588,114498.3,63729368321.5662
1761523200000,2025-10-27,00:00:00,114498.3,116373.3,106225,110493.5,58281491366.3649
1759708800000,2025-10-06,00:00:00,123447.9,126150,101045.9,114908.5,98798074006.9863
1760313600000,2025-10-13,00:00:00,114908.5,115950.6,103437.4,108597.3,69097461076.4092
1760918400000,2025-10-20,00:00:00,108597.3,115583,106588,114498.3,63729368321.5662
1761523200000,2025-10-27,00:00:00,114498.3,116373.3,106225,110493.5,58281491366.3649
1759708800000,2025-10-06,00:00:00,123447.9,126150,101045.9,114908.5,98798074006.9863
