utc,date,time,open,high,low,close,volume
1758909600000,2025-09-26,18:00:00,109856.1,110255.6,109648,109674.5,301264906.0397
1758913200000,2025-09-26,19:00:00,109674.5,109678,108951.5,109111.5,501019567.0529
1758916800000,2025-09-26,20:00:00,109111.5,109351,109033.2,109245.4,214938476.5831
1758920400000,2025-09-26,21:00:00,109245.4,109499.1,109130.7,109418.2,117469546.7692
1758924000000,2025-09-26,22:00:00,109418.2,109561.1,109295.4,109518.4,98678409.4264
1758927600000,2025-09-26,23:00:00,109518.4,109640,109375,109592.1,76622232.5775
1758931200000,2025-09-27,00:00:00,109592.1,109617.9,109431.3,109607,73729209.3762
1758934800000,2025-09-27,01:00:00,109607,109625,109261.6,109370.5,199574384.6184
1758938400000,2025-09-27,02:00:00,109370.5,109427.5,109263.1,109354.7,87576328.43
1758942000000,2025-09-27,03:00:00,109354.7,109710.9,109320.3,109501.3,179083605.6957
1758945600000,2025-09-27,04:00:00,109501.3,109689.2,109455.3,109606.1,89450439.9577
1758949200000,2025-09-27,05:00:00,109606.1,109638.4,109532.2,109588.1,34924247.2678
1758952800000,2025-09-27,06:00:00,109588.1,109588.1,109430,109491,34827177.5482
1758956400000,2025-09-27,07:00:00,109491,109527.7,109286.9,109359.2,93902642.4586
1758960000000,2025-09-27,08:00:00,109359.2,109359.2,109200.3,109212.6,166033006.9332
1758963600000,2025-09-27,09:00:00,109212.6,109316.2,108988,109256.5,222997136.6559
1758967200000,2025-09-27,10:00:00,109256.5,109442.5,109206.3,109388.3,84872362.419
1758970800000,2025-09-27,11:00:00,109388.3,109400,109241.3,109276.1,33048754.1369
1758974400000,2025-09-27,12:00:00,109276.1,109434,109186.1,109351.6,73555606.8874
1758978000000,2025-09-27,13:00:00,109351.6,109358.2,109237.1,109260.1,58715515.4529
1758981600000,2025-09-27,14:00:00,109260.1,109356.3,109196.3,109235.4,71070652.0447
1758985200000,2025-09-27,15:00:00,109235.4,109399.9,109113.9,109342.4,129997093.9481
1758988800000,2025-09-27,16:00:00,109342.4,109388.8,109261.5,109350.2,82133266.1391
1758992400000,2025-09-27,17:00:00,109350.2,109376.1,109190.2,109329.1,90893280.312
1758996000000,2025-09-27,18:00:00,109329.1,109400,109291,109380.9,39355464.1768
1758999600000,2025-09-27,19:00:00,109380.9,109400.6,109339.7,109380,30227041.095
1759003200000,2025-09-27,20:00:00,109380,109398.6,109296.3,109342.1,39012140.9854
1759006800000,2025-09-27,21:00:00,109342.1,109445.9,109339.8,109428.7,40628674.6083
1759010400000,2025-09-27,22:00:00,109428.7,109665.5,109421.5,109555.4,119264210.2396
1759014000000,2025-09-27,23:00:00,109555.4,109628.5,109407.3,109585.6,59439072.8004
1759017600000,2025-09-28,00:00:00,109585.6,109747,109493.3,109561.1,110277364.867
1759021200000,2025-09-28,01:00:00,109561.1,109610.8,109271,109301.5,184712531.7087
1759024800000,2025-09-28,02:00:00,109301.5,109500,109291.3,109390.7,119262641.6248
1759028400000,2025-09-28,03:00:00,109390.7,109494,109348.5,109395.1,39690839.7408
1759032000000,2025-09-28,04:00:00,109395.1,109440.3,109295.9,109327,37406899.2958
1759035600000,2025-09-28,05:00:00,109327,109360.3,109283.4,109298.2,43765913.9917
1759039200000,2025-09-28,06:00:00,109298.2,109411.2,109180.7,109366.5,66405345.689
1759042800000,2025-09-28,07:00:00,109366.5,109509.4,109290,109469.8,67525312.1435
1759046400000,2025-09-28,08:00:00,109469.8,109549,109371.5,109470.6,121294363.949
1759050000000,2025-09-28,09:00:00,109470.6,109520.9,109252,109464.8,214038923.1103
1759053600000,2025-09-28,10:00:00,109464.8,109464.8,109294.4,109308.4,79791736.6847
1759057200000,2025-09-28,11:00:00,109308.4,109411.1,109180.7,109325.7,143447238.6604
1759060800000,2025-09-28,12:00:00,109325.7,109406.3,109133.8,109255.9,162035503.309
1759064400000,2025-09-28,13:00:00,109255.9,109647.8,109255.8,109588.5,190078513.5328
1759068000000,2025-09-28,14:00:00,109588.5,109863.1,109455,109805.4,173188981.4476
1759071600000,2025-09-28,15:00:00,109805.4,110000,109663.7,109990.9,180290081.4423
1759075200000,2025-09-28,16:00:00,109990.9,110355,109965.2,110179.9,338219788.1086
1759078800000,2025-09-28,17:00:00,110179.9,110349.9,110078.2,110165.5,175746942.4201
1759082400000,2025-09-28,18:00:00,110165.5,110250,110010.2,110250,74584331.2448
1759086000000,2025-09-28,19:00:00,110250,110350.4,110065.5,110302.9,63424793.123
1759089600000,2025-09-28,20:00:00,110302.9,110912.8,110242,110763.7,362149541.3051
1759093200000,2025-09-28,21:00:00,110763.7,110858.6,110578.6,110786.8,88032705.7609
1759096800000,2025-09-28,22:00:00,110786.8,111985.3,110781.5,111892.9,790921674.016
1759100400000,2025-09-28,23:00:00,111892.9,112345.9,111892.9,112133.5,466234768.8527
1759104000000,2025-09-29,00:00:00,112133.5,112282.3,111932.7,112216.5,302720877.1495
1759107600000,2025-09-29,01:00:00,112216.5,112280,111662.8,111812.2,249215252.952
1759111200000,2025-09-29,02:00:00,111812.2,111992.9,111583.9,111694.8,271004791.8836
1759114800000,2025-09-29,03:00:00,111694.8,111825.9,111534.8,111825.9,173173774.1378
1759118400000,2025-09-29,04:00:00,111825.9,111855.6,111689.6,111761.2,140708306.9081
1759122000000,2025-09-29,05:00:00,111761.2,111770,111500.1,111707.8,149428041.5721
1759125600000,2025-09-29,06:00:00,111707.8,111820.9,111576.3,111591.3,124772768.4085
1759129200000,2025-09-29,07:00:00,111591.3,111820.3,111487.2,111820.2,218096222.4462
1759132800000,2025-09-29,08:00:00,111820.2,112415.9,111818.1,112051,405170809.3944
1759136400000,2025-09-29,09:00:00,112051,112181.2,111938,112065.4,149811681.0197
1759140000000,2025-09-29,10:00:00,112065.4,112200.5,111976,112055.1,122894064.7079
